location_id,location_name,location_parent_id,path_to_top_parent,fips,current,end_date
298,"American Samoa",1,"1,298",60,1,NULL
351,Guam,1,"1,351",66,1,NULL
376,"Northern Mariana Islands",1,"1,376",69,1,NULL
385,"Puerto Rico",102,"1,102,385",72,1,NULL
422,"Virgin Islands, U.S.",1,"1,422",78,1,NULL
523,Alabama,102,"1,102,523",1,1,NULL
524,Alaska,102,"1,102,524",2,1,NULL
525,Arizona,102,"1,102,525",4,1,NULL
526,Arkansas,102,"1,102,526",5,1,NULL
527,California,102,"1,102,527",6,1,NULL
528,Colorado,102,"1,102,528",8,1,NULL
529,Connecticut,102,"1,102,529",9,1,NULL
530,Delaware,102,"1,102,530",10,1,NULL
531,"District of Columbia",102,"1,102,531",11,1,NULL
532,Florida,102,"1,102,532",12,1,NULL
533,Georgia,102,"1,102,533",13,1,NULL
534,Hawaii,102,"1,102,534",15,1,NULL
535,Idaho,102,"1,102,535",16,1,NULL
536,Illinois,102,"1,102,536",17,1,NULL
537,Indiana,102,"1,102,537",18,1,NULL
538,Iowa,102,"1,102,538",19,1,NULL
539,Kansas,102,"1,102,539",20,1,NULL
540,Kentucky,102,"1,102,540",21,1,NULL
541,Louisiana,102,"1,102,541",22,1,NULL
542,Maine,102,"1,102,542",23,1,NULL
543,Maryland,102,"1,102,543",24,1,NULL
544,Massachusetts,102,"1,102,544",25,1,NULL
545,Michigan,102,"1,102,545",26,1,NULL
546,Minnesota,102,"1,102,546",27,1,NULL
547,Mississippi,102,"1,102,547",28,1,NULL
548,Missouri,102,"1,102,548",29,1,NULL
549,Montana,102,"1,102,549",30,1,NULL
550,Nebraska,102,"1,102,550",31,1,NULL
551,Nevada,102,"1,102,551",32,1,NULL
552,"New Hampshire",102,"1,102,552",33,1,NULL
553,"New Jersey",102,"1,102,553",34,1,NULL
554,"New Mexico",102,"1,102,554",35,1,NULL
555,"New York",102,"1,102,555",36,1,NULL
556,"North Carolina",102,"1,102,556",37,1,NULL
557,"North Dakota",102,"1,102,557",38,1,NULL
558,Ohio,102,"1,102,558",39,1,NULL
559,Oklahoma,102,"1,102,559",40,1,NULL
560,Oregon,102,"1,102,560",41,1,NULL
561,Pennsylvania,102,"1,102,561",42,1,NULL
562,"Rhode Island",102,"1,102,562",44,1,NULL
563,"South Carolina",102,"1,102,563",45,1,NULL
564,"South Dakota",102,"1,102,564",46,1,NULL
565,Tennessee,102,"1,102,565",47,1,NULL
566,Texas,102,"1,102,566",48,1,NULL
567,Utah,102,"1,102,567",49,1,NULL
568,Vermont,102,"1,102,568",50,1,NULL
569,Virginia,102,"1,102,569",51,1,NULL
570,Washington,102,"1,102,570",53,1,NULL
571,"West Virginia",102,"1,102,571",54,1,NULL
572,Wisconsin,102,"1,102,572",55,1,NULL
573,Wyoming,102,"1,102,573",56,1,NULL
574,"Lauderdale County",523,"1,102,523,574",1077,1,NULL
575,"Limestone County",523,"1,102,523,575",1083,1,NULL
576,"Madison County",523,"1,102,523,576",1089,1,NULL
577,"Jackson County",523,"1,102,523,577",1071,1,NULL
578,"Colbert County",523,"1,102,523,578",1033,1,NULL
579,"DeKalb County",523,"1,102,523,579",1049,1,NULL
580,"Lawrence County",523,"1,102,523,580",1079,1,NULL
581,"Morgan County",523,"1,102,523,581",1103,1,NULL
582,"Marshall County",523,"1,102,523,582",1095,1,NULL
583,"Franklin County",523,"1,102,523,583",1059,1,NULL
584,"Cherokee County",523,"1,102,523,584",1019,1,NULL
585,"Marion County",523,"1,102,523,585",1093,1,NULL
586,"Cullman County",523,"1,102,523,586",1043,1,NULL
587,"Winston County",523,"1,102,523,587",1133,1,NULL
588,"Blount County",523,"1,102,523,588",1009,1,NULL
589,"Etowah County",523,"1,102,523,589",1055,1,NULL
590,"Lamar County",523,"1,102,523,590",1075,1,NULL
591,"Walker County",523,"1,102,523,591",1127,1,NULL
592,"Saint Clair County",523,"1,102,523,592",1115,1,NULL
593,"Calhoun County",523,"1,102,523,593",1015,1,NULL
594,"Cleburne County",523,"1,102,523,594",1029,1,NULL
595,"Fayette County",523,"1,102,523,595",1057,1,NULL
596,"Jefferson County",523,"1,102,523,596",1073,1,NULL
597,"Talladega County",523,"1,102,523,597",1121,1,NULL
598,"Tuscaloosa County",523,"1,102,523,598",1125,1,NULL
599,"Shelby County",523,"1,102,523,599",1117,1,NULL
600,"Pickens County",523,"1,102,523,600",1107,1,NULL
601,"Randolph County",523,"1,102,523,601",1111,1,NULL
602,"Clay County",523,"1,102,523,602",1027,1,NULL
603,"Bibb County",523,"1,102,523,603",1007,1,NULL
604,"Greene County",523,"1,102,523,604",1063,1,NULL
605,"Chambers County",523,"1,102,523,605",1017,1,NULL
606,"Tallapoosa County",523,"1,102,523,606",1123,1,NULL
607,"Coosa County",523,"1,102,523,607",1037,1,NULL
608,"Chilton County",523,"1,102,523,608",1021,1,NULL
609,"Hale County",523,"1,102,523,609",1065,1,NULL
610,"Sumter County",523,"1,102,523,610",1119,1,NULL
611,"Perry County",523,"1,102,523,611",1105,1,NULL
612,"Elmore County",523,"1,102,523,612",1051,1,NULL
613,"Lee County",523,"1,102,523,613",1081,1,NULL
614,"Autauga County",523,"1,102,523,614",1001,1,NULL
615,"Dallas County",523,"1,102,523,615",1047,1,NULL
616,"Macon County",523,"1,102,523,616",1087,1,NULL
617,"Marengo County",523,"1,102,523,617",1091,1,NULL
618,"Russell County",523,"1,102,523,618",1113,1,NULL
619,"Montgomery County",523,"1,102,523,619",1101,1,NULL
620,"Lowndes County",523,"1,102,523,620",1085,1,NULL
621,"Choctaw County",523,"1,102,523,621",1023,1,NULL
622,"Bullock County",523,"1,102,523,622",1011,1,NULL
623,"Wilcox County",523,"1,102,523,623",1131,1,NULL
624,"Barbour County",523,"1,102,523,624",1005,1,NULL
625,"Pike County",523,"1,102,523,625",1109,1,NULL
626,"Crenshaw County",523,"1,102,523,626",1041,1,NULL
627,"Clarke County",523,"1,102,523,627",1025,1,NULL
628,"Butler County",523,"1,102,523,628",1013,1,NULL
629,"Monroe County",523,"1,102,523,629",1099,1,NULL
630,"Henry County",523,"1,102,523,630",1067,1,NULL
631,"Conecuh County",523,"1,102,523,631",1035,1,NULL
632,"Washington County",523,"1,102,523,632",1129,1,NULL
633,"Coffee County",523,"1,102,523,633",1031,1,NULL
634,"Dale County",523,"1,102,523,634",1045,1,NULL
635,"Covington County",523,"1,102,523,635",1039,1,NULL
636,"Houston County",523,"1,102,523,636",1069,1,NULL
637,"Baldwin County",523,"1,102,523,637",1003,1,NULL
638,"Escambia County",523,"1,102,523,638",1053,1,NULL
639,"Geneva County",523,"1,102,523,639",1061,1,NULL
640,"Mobile County",523,"1,102,523,640",1097,1,NULL
641,"North Slope Borough",524,"1,102,524,641",2185,1,NULL
642,"Northwest Arctic Borough",524,"1,102,524,642",2188,1,NULL
643,"Fairbanks North Star Borough",524,"1,102,524,643",2090,1,NULL
644,"Bristol Bay Borough",524,"1,102,524,644",2060,1,NULL
645,"Nome Census Area",524,"1,102,524,645",2180,1,NULL
646,"Matanuska-Susitna Borough",524,"1,102,524,646",2170,1,NULL
647,"Wade Hampton Census Area",524,"1,102,524,647",2270,0,"2015-06-30 23:59:59"
648,"Bethel Census Area",524,"1,102,524,648",2050,1,NULL
649,"Anchorage Municipality",524,"1,102,524,649",2020,1,NULL
650,"Kenai Peninsula Borough",524,"1,102,524,650",2122,1,NULL
651,"Dillingham Census Area",524,"1,102,524,651",2070,1,NULL
652,"Lake and Peninsula Borough",524,"1,102,524,652",2164,1,NULL
653,"Haines Borough",524,"1,102,524,653",2100,1,NULL
654,"Juneau City and Borough",524,"1,102,524,654",2110,1,NULL
655,"Kodiak Island Borough",524,"1,102,524,655",2150,1,NULL
656,"Sitka City and Borough",524,"1,102,524,656",2220,1,NULL
657,"Wrangell-Petersburg Census Area",524,"1,102,524,657",2280,0,"2008-06-01 00:00:00"
658,"Ketchikan Gateway Borough",524,"1,102,524,658",2130,1,NULL
659,"Prince of Wales-Outer Ketchikan Census Area",524,"1,102,524,659",2201,0,"2008-05-19 00:00:00"
660,"Aleutians East Borough",524,"1,102,524,660",2013,1,NULL
661,"Aleutians West Census Area",524,"1,102,524,661",2016,1,NULL
662,"Valdez-Cordova Census Area",524,"1,102,524,662",2261,1,NULL
663,"Yakutat City and Borough",524,"1,102,524,663",2282,1,NULL
664,"Skagway-Hoonah-Angoon Census Area",524,"1,102,524,664",2232,0,"2007-06-20 00:00:00"
665,"Yukon-Koyukuk Census Area",524,"1,102,524,665",2290,1,NULL
666,"Southeast Fairbanks Census Area",524,"1,102,524,666",2240,1,NULL
667,"Denali Borough",524,"1,102,524,667",2068,1,NULL
668,"Navajo County",525,"1,102,525,668",4017,1,NULL
669,"Coconino County",525,"1,102,525,669",4005,1,NULL
670,"Mohave County",525,"1,102,525,670",4015,1,NULL
671,"Apache County",525,"1,102,525,671",4001,1,NULL
672,"Yavapai County",525,"1,102,525,672",4025,1,NULL
673,"Gila County",525,"1,102,525,673",4007,1,NULL
674,"La Paz County",525,"1,102,525,674",4012,1,NULL
675,"Maricopa County",525,"1,102,525,675",4013,1,NULL
676,"Greenlee County",525,"1,102,525,676",4011,1,NULL
677,"Graham County",525,"1,102,525,677",4009,1,NULL
678,"Yuma County",525,"1,102,525,678",4027,1,NULL
679,"Pinal County",525,"1,102,525,679",4021,1,NULL
680,"Pima County",525,"1,102,525,680",4019,1,NULL
681,"Cochise County",525,"1,102,525,681",4003,1,NULL
682,"Santa Cruz County",525,"1,102,525,682",4023,1,NULL
683,"Clay County",526,"1,102,526,683",5021,1,NULL
684,"Baxter County",526,"1,102,526,684",5005,1,NULL
685,"Fulton County",526,"1,102,526,685",5049,1,NULL
686,"Sharp County",526,"1,102,526,686",5135,1,NULL
687,"Randolph County",526,"1,102,526,687",5121,1,NULL
688,"Benton County",526,"1,102,526,688",5007,1,NULL
689,"Marion County",526,"1,102,526,689",5089,1,NULL
690,"Carroll County",526,"1,102,526,690",5015,1,NULL
691,"Boone County",526,"1,102,526,691",5009,1,NULL
692,"Madison County",526,"1,102,526,692",5087,1,NULL
693,"Greene County",526,"1,102,526,693",5055,1,NULL
694,"Lawrence County",526,"1,102,526,694",5075,1,NULL
695,"Izard County",526,"1,102,526,695",5065,1,NULL
696,"Washington County",526,"1,102,526,696",5143,1,NULL
697,"Newton County",526,"1,102,526,697",5101,1,NULL
698,"Searcy County",526,"1,102,526,698",5129,1,NULL
699,"Stone County",526,"1,102,526,699",5137,1,NULL
700,"Mississippi County",526,"1,102,526,700",5093,1,NULL
701,"Craighead County",526,"1,102,526,701",5031,1,NULL
702,"Independence County",526,"1,102,526,702",5063,1,NULL
703,"Jackson County",526,"1,102,526,703",5067,1,NULL
704,"Van Buren County",526,"1,102,526,704",5141,1,NULL
705,"Franklin County",526,"1,102,526,705",5047,1,NULL
706,"Johnson County",526,"1,102,526,706",5071,1,NULL
707,"Crawford County",526,"1,102,526,707",5033,1,NULL
708,"Pope County",526,"1,102,526,708",5115,1,NULL
709,"Cleburne County",526,"1,102,526,709",5023,1,NULL
710,"Poinsett County",526,"1,102,526,710",5111,1,NULL
711,"White County",526,"1,102,526,711",5145,1,NULL
712,"Conway County",526,"1,102,526,712",5029,1,NULL
713,"Sebastian County",526,"1,102,526,713",5131,1,NULL
714,"Cross County",526,"1,102,526,714",5037,1,NULL
715,"Woodruff County",526,"1,102,526,715",5147,1,NULL
716,"Crittenden County",526,"1,102,526,716",5035,1,NULL
717,"Logan County",526,"1,102,526,717",5083,1,NULL
718,"Faulkner County",526,"1,102,526,718",5045,1,NULL
719,"Yell County",526,"1,102,526,719",5149,1,NULL
720,"Saint Francis County",526,"1,102,526,720",5123,1,NULL
721,"Perry County",526,"1,102,526,721",5105,1,NULL
722,"Scott County",526,"1,102,526,722",5127,1,NULL
723,"Prairie County",526,"1,102,526,723",5117,1,NULL
724,"Lonoke County",526,"1,102,526,724",5085,1,NULL
725,"Pulaski County",526,"1,102,526,725",5119,1,NULL
726,"Monroe County",526,"1,102,526,726",5095,1,NULL
727,"Lee County",526,"1,102,526,727",5077,1,NULL
728,"Saline County",526,"1,102,526,728",5125,1,NULL
729,"Garland County",526,"1,102,526,729",5051,1,NULL
730,"Montgomery County",526,"1,102,526,730",5097,1,NULL
731,"Polk County",526,"1,102,526,731",5113,1,NULL
732,"Phillips County",526,"1,102,526,732",5107,1,NULL
733,"Arkansas County",526,"1,102,526,733",5001,1,NULL
734,"Hot Spring County",526,"1,102,526,734",5059,1,NULL
735,"Grant County",526,"1,102,526,735",5053,1,NULL
736,"Jefferson County",526,"1,102,526,736",5069,1,NULL
737,"Howard County",526,"1,102,526,737",5061,1,NULL
738,"Pike County",526,"1,102,526,738",5109,1,NULL
739,"Clark County",526,"1,102,526,739",5019,1,NULL
740,"Sevier County",526,"1,102,526,740",5133,1,NULL
741,"Lincoln County",526,"1,102,526,741",5079,1,NULL
742,"Dallas County",526,"1,102,526,742",5039,1,NULL
743,"Desha County",526,"1,102,526,743",5041,1,NULL
744,"Cleveland County",526,"1,102,526,744",5025,1,NULL
745,"Hempstead County",526,"1,102,526,745",5057,1,NULL
746,"Nevada County",526,"1,102,526,746",5099,1,NULL
747,"Little River County",526,"1,102,526,747",5081,1,NULL
748,"Ouachita County",526,"1,102,526,748",5103,1,NULL
749,"Calhoun County",526,"1,102,526,749",5013,1,NULL
750,"Drew County",526,"1,102,526,750",5043,1,NULL
751,"Bradley County",526,"1,102,526,751",5011,1,NULL
752,"Miller County",526,"1,102,526,752",5091,1,NULL
753,"Chicot County",526,"1,102,526,753",5017,1,NULL
754,"Lafayette County",526,"1,102,526,754",5073,1,NULL
755,"Columbia County",526,"1,102,526,755",5027,1,NULL
756,"Ashley County",526,"1,102,526,756",5003,1,NULL
757,"Union County",526,"1,102,526,757",5139,1,NULL
758,"Siskiyou County",527,"1,102,527,758",6093,1,NULL
759,"Del Norte County",527,"1,102,527,759",6015,1,NULL
760,"Modoc County",527,"1,102,527,760",6049,1,NULL
761,"Humboldt County",527,"1,102,527,761",6023,1,NULL
762,"Trinity County",527,"1,102,527,762",6105,1,NULL
763,"Shasta County",527,"1,102,527,763",6089,1,NULL
764,"Lassen County",527,"1,102,527,764",6035,1,NULL
765,"Tehama County",527,"1,102,527,765",6103,1,NULL
766,"Plumas County",527,"1,102,527,766",6063,1,NULL
767,"Butte County",527,"1,102,527,767",6007,1,NULL
768,"Mendocino County",527,"1,102,527,768",6045,1,NULL
769,"Glenn County",527,"1,102,527,769",6021,1,NULL
770,"Sierra County",527,"1,102,527,770",6091,1,NULL
771,"Yuba County",527,"1,102,527,771",6115,1,NULL
772,"Lake County",527,"1,102,527,772",6033,1,NULL
773,"Nevada County",527,"1,102,527,773",6057,1,NULL
774,"Colusa County",527,"1,102,527,774",6011,1,NULL
775,"Placer County",527,"1,102,527,775",6061,1,NULL
776,"Sutter County",527,"1,102,527,776",6101,1,NULL
777,"El Dorado County",527,"1,102,527,777",6017,1,NULL
778,"Yolo County",527,"1,102,527,778",6113,1,NULL
779,"Alpine County",527,"1,102,527,779",6003,1,NULL
780,"Napa County",527,"1,102,527,780",6055,1,NULL
781,"Sonoma County",527,"1,102,527,781",6097,1,NULL
782,"Sacramento County",527,"1,102,527,782",6067,1,NULL
783,"Mono County",527,"1,102,527,783",6051,1,NULL
784,"Amador County",527,"1,102,527,784",6005,1,NULL
785,"Calaveras County",527,"1,102,527,785",6009,1,NULL
786,"Tuolumne County",527,"1,102,527,786",6109,1,NULL
787,"Marin County",527,"1,102,527,787",6041,1,NULL
788,"San Joaquin County",527,"1,102,527,788",6077,1,NULL
789,"Solano County",527,"1,102,527,789",6095,1,NULL
790,"Contra Costa County",527,"1,102,527,790",6013,1,NULL
791,"Stanislaus County",527,"1,102,527,791",6099,1,NULL
792,"Alameda County",527,"1,102,527,792",6001,1,NULL
793,"Mariposa County",527,"1,102,527,793",6043,1,NULL
794,"San Francisco County",527,"1,102,527,794",6075,1,NULL
795,"Madera County",527,"1,102,527,795",6039,1,NULL
796,"San Mateo County",527,"1,102,527,796",6081,1,NULL
797,"Merced County",527,"1,102,527,797",6047,1,NULL
798,"Fresno County",527,"1,102,527,798",6019,1,NULL
799,"Santa Clara County",527,"1,102,527,799",6085,1,NULL
800,"Inyo County",527,"1,102,527,800",6027,1,NULL
801,"Santa Cruz County",527,"1,102,527,801",6087,1,NULL
802,"San Benito County",527,"1,102,527,802",6069,1,NULL
803,"Monterey County",527,"1,102,527,803",6053,1,NULL
804,"Tulare County",527,"1,102,527,804",6107,1,NULL
805,"Kings County",527,"1,102,527,805",6031,1,NULL
806,"Kern County",527,"1,102,527,806",6029,1,NULL
807,"San Bernardino County",527,"1,102,527,807",6071,1,NULL
808,"San Luis Obispo County",527,"1,102,527,808",6079,1,NULL
809,"Ventura County",527,"1,102,527,809",6111,1,NULL
810,"Riverside County",527,"1,102,527,810",6065,1,NULL
811,"Santa Barbara County",527,"1,102,527,811",6083,1,NULL
812,"Orange County",527,"1,102,527,812",6059,1,NULL
813,"San Diego County",527,"1,102,527,813",6073,1,NULL
814,"Los Angeles County",527,"1,102,527,814",6037,1,NULL
815,"Imperial County",527,"1,102,527,815",6025,1,NULL
816,"Moffat County",528,"1,102,528,816",8081,1,NULL
817,"Weld County",528,"1,102,528,817",8123,1,NULL
818,"Jackson County",528,"1,102,528,818",8057,1,NULL
819,"Logan County",528,"1,102,528,819",8075,1,NULL
820,"Sedgwick County",528,"1,102,528,820",8115,1,NULL
821,"Routt County",528,"1,102,528,821",8107,1,NULL
822,"Larimer County",528,"1,102,528,822",8069,1,NULL
823,"Phillips County",528,"1,102,528,823",8095,1,NULL
824,"Morgan County",528,"1,102,528,824",8087,1,NULL
825,"Grand County",528,"1,102,528,825",8049,1,NULL
826,"Yuma County",528,"1,102,528,826",8125,1,NULL
827,"Washington County",528,"1,102,528,827",8121,1,NULL
828,"Boulder County",528,"1,102,528,828",8013,1,NULL
829,"Rio Blanco County",528,"1,102,528,829",8103,1,NULL
830,"Garfield County",528,"1,102,528,830",8045,1,NULL
831,"Adams County",528,"1,102,528,831",8001,1,NULL
832,"Gilpin County",528,"1,102,528,832",8047,1,NULL
833,"Summit County",528,"1,102,528,833",8117,1,NULL
834,"Eagle County",528,"1,102,528,834",8037,1,NULL
835,"Jefferson County",528,"1,102,528,835",8059,1,NULL
836,"Clear Creek County",528,"1,102,528,836",8019,1,NULL
837,"Denver County",528,"1,102,528,837",8031,1,NULL
838,"Arapahoe County",528,"1,102,528,838",8005,1,NULL
839,"Kit Carson County",528,"1,102,528,839",8063,1,NULL
840,"Lincoln County",528,"1,102,528,840",8073,1,NULL
841,"Elbert County",528,"1,102,528,841",8039,1,NULL
842,"Park County",528,"1,102,528,842",8093,1,NULL
843,"Douglas County",528,"1,102,528,843",8035,1,NULL
844,"Lake County",528,"1,102,528,844",8065,1,NULL
845,"Mesa County",528,"1,102,528,845",8077,1,NULL
846,"Pitkin County",528,"1,102,528,846",8097,1,NULL
847,"Gunnison County",528,"1,102,528,847",8051,1,NULL
848,"Delta County",528,"1,102,528,848",8029,1,NULL
849,"El Paso County",528,"1,102,528,849",8041,1,NULL
850,"Teller County",528,"1,102,528,850",8119,1,NULL
851,"Chaffee County",528,"1,102,528,851",8015,1,NULL
852,"Cheyenne County",528,"1,102,528,852",8017,1,NULL
853,"Fremont County",528,"1,102,528,853",8043,1,NULL
854,"Montrose County",528,"1,102,528,854",8085,1,NULL
855,"Kiowa County",528,"1,102,528,855",8061,1,NULL
856,"Pueblo County",528,"1,102,528,856",8101,1,NULL
857,"Crowley County",528,"1,102,528,857",8025,1,NULL
858,"Saguache County",528,"1,102,528,858",8109,1,NULL
859,"Ouray County",528,"1,102,528,859",8091,1,NULL
860,"Prowers County",528,"1,102,528,860",8099,1,NULL
861,"Bent County",528,"1,102,528,861",8011,1,NULL
862,"Otero County",528,"1,102,528,862",8089,1,NULL
863,"Custer County",528,"1,102,528,863",8027,1,NULL
864,"San Miguel County",528,"1,102,528,864",8113,1,NULL
865,"Hinsdale County",528,"1,102,528,865",8053,1,NULL
866,"Huerfano County",528,"1,102,528,866",8055,1,NULL
867,"San Juan County",528,"1,102,528,867",8111,1,NULL
868,"Mineral County",528,"1,102,528,868",8079,1,NULL
869,"Dolores County",528,"1,102,528,869",8033,1,NULL
870,"Rio Grande County",528,"1,102,528,870",8105,1,NULL
871,"Las Animas County",528,"1,102,528,871",8071,1,NULL
872,"Alamosa County",528,"1,102,528,872",8003,1,NULL
873,"Baca County",528,"1,102,528,873",8009,1,NULL
874,"Costilla County",528,"1,102,528,874",8023,1,NULL
875,"Montezuma County",528,"1,102,528,875",8083,1,NULL
876,"La Plata County",528,"1,102,528,876",8067,1,NULL
