State,PTP Statute,PTP Bill,Year Passed,Repeal Bill,Year Repealed
Alabama,,,,,
Alaska,,,,,
Arizona,,,,,
Arkansas,,,,,
California,"Cal Pen Code з 26500, Cal Pen Code з 12070","Stats 2010 ch 711 з 6 (SB 1080),",1994,,
Colorado,,,,,
Connecticut,Conn. Gen. Stat. з 29-36f ,"July Sp. Sess. P.A. 94-1, S. 7.",1994,,
Delaware,,,,,
Florida,,,,,
Georgia,,,,,
Hawaii,HRS за134-2,"L 1988, c 275, pt of з 2",1988,,
Idaho,,,,,
Illinois,430 ILCS 65/2,"Laws 1967, p. 2600",1967,,
Indiana,,,,,
Iowa,Iowa Code з 724.15 ,"C79, 81, з 724.15",1979,,
Kansas,,,,,
Kentucky,,,,,
Louisiana,,,,,
Maine,,,,,
Maryland,Md. PUBLIC SAFETY Code Ann. з 5-117.1,2013 Md. ALS 427,2013,,
Massachusetts,"ALM GL ch. 140, з 131 ",,1906,,
Michigan,MCLS з 28.422 ,"Pub Acts 1927, No. 372, з 2",1927,,
Minnesota,Minn. Stat. з 624.7131 ,1977 c 349 s 4,1977,,
Mississippi,,,,,
Missouri,з 571.080 R.S.Mo. ,"L. 1981 H.B. 296 subsecs. 1, 2, 3",1981,2007 Mo. SB 62,2007
Montana,,,,,
Nebraska,R.R.S. Neb. з 69-2403,"Laws 1991, LB 355, з 2",1991,,
Nevada,,,,,
New Hampshire,,,,,
New Jersey,N.J. Stat. з 2C:58-3 ,"L. 1978, c. 95",1978,,
New Mexico,,,,,
New York,NY CLS Penal з 400.00,"L 1965, ch 1030, з 1, eff Sept 1, 1967",1967,,
North Carolina,N.C. Gen. Stat. з 14-402 ,"1919, c. 197",1919,,
North Dakota,,,,,
Ohio,,,,,
Oklahoma,,,,,
Oregon,,,,,
Pennsylvania,,,,,
Rhode Island,R.I. Gen. Laws з 11-47-35,G.L. 1956 (1981 Reenactment) з 11-47-35,1956,,
South Carolina,,,,,
South Dakota,,,,,
Tennessee,,,,,
Texas,,,,,
Utah,,,,,
Vermont,,,,,
Virginia,,,,,
Washington,,,,,
West Virginia,,,,,
Wisconsin,,,,,
Wyoming,,,,,
