State,PTP Statute,PTP Bill,Year Passed,Repeal Bill,Year Repealed
Alabama,,,,,
Alaska,,,,,
Arizona,,,,,
Arkansas,,,,,
California,"Cal Pen Code § 26500, Cal Pen Code § 12070","Stats 2010 ch 711 § 6 (SB 1080),",1994,,
Colorado,,,,,
Connecticut,Conn. Gen. Stat. § 29-36f ,"July Sp. Sess. P.A. 94-1, S. 7.",1994,,
Delaware,,,,,
Florida,,,,,
Georgia,,,,,
Hawaii,HRS § 134-2,"L 1988, c 275, pt of § 2",1988,,
Idaho,,,,,
Illinois,430 ILCS 65/2,"Laws 1967, p. 2600",1967,,
Indiana,,,,,
Iowa,Iowa Code § 724.15 ,"C79, 81, § 724.15",1979,,
Kansas,,,,,
Kentucky,,,,,
Louisiana,,,,,
Maine,,,,,
Maryland,Md. PUBLIC SAFETY Code Ann. § 5-117.1,2013 Md. ALS 427,2013,,
Massachusetts,"ALM GL ch. 140, § 131 ",,1906,,
Michigan,MCLS § 28.422 ,"Pub Acts 1927, No. 372, § 2",1927,,
Minnesota,Minn. Stat. § 624.7131 ,1977 c 349 s 4,1977,,
Mississippi,,,,,
Missouri,§ 571.080 R.S.Mo. ,"L. 1981 H.B. 296 subsecs. 1, 2, 3",1981,2007 Mo. SB 62,2007
Montana,,,,,
Nebraska,R.R.S. Neb. § 69-2403,"Laws 1991, LB 355, § 2",1991,,
Nevada,,,,,
New Hampshire,,,,,
New Jersey,N.J. Stat. § 2C:58-3 ,"L. 1978, c. 95",1978,,
New Mexico,,,,,
New York,NY CLS Penal § 400.00,"L 1965, ch 1030, § 1, eff Sept 1, 1967",1967,,
North Carolina,N.C. Gen. Stat. § 14-402 ,"1919, c. 197",1919,,
North Dakota,,,,,
Ohio,,,,,
Oklahoma,,,,,
Oregon,,,,,
Pennsylvania,,,,,
Rhode Island,R.I. Gen. Laws § 11-47-35,G.L. 1956 (1981 Reenactment) § 11-47-35,1956,,
South Carolina,,,,,
South Dakota,,,,,
Tennessee,,,,,
Texas,,,,,
Utah,,,,,
Vermont,,,,,
Virginia,,,,,
Washington,,,,,
West Virginia,,,,,
Wisconsin,,,,,
Wyoming,,,,,
